2025-06-14 00:56:46,957 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.002324104309082, 'Total Fwd Packets': 1139, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 112698.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 224.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 98.94468832309043, 'Fwd Packet Length Std': 62.29567489756607, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 112436.68541492826, 'Flow Packets/s': 1136.3589831905028, 'Fwd Packets/s': 1136.3589831905028, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 224.0, 'Packet Length Mean': 98.94468832309043, 'Packet Length Std': 62.29567489756607, 'Packet Length Variance': 3880.7511109432435, 'Flow IAT Mean': 0.0008807768930659772, 'Flow IAT Std': 0.001570765405372984, 'Flow IAT Max': 0.01421499252319336, 'Flow IAT Min': 2.86102294921875e-06, 'Fwd IAT Total': 1.002324104309082, 'Fwd IAT Mean': 0.0008807768930659772, 'Fwd IAT Std': 0.001570765405372984, 'Fwd IAT Max': 0.01421499252319336, 'Fwd IAT Min': 2.86102294921875e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 226, 'SYN Flag Count': 227, 'RST Flag Count': 0, 'PSH Flag Count': 226, 'ACK Flag Count': 912, 'Fwd PSH Flags': 226, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-14 00:56:48,103 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0004827976226807, 'Total Fwd Packets': 1032, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 102316.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 224.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 99.14341085271317, 'Fwd Packet Length Std': 62.42976499521948, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 102266.62591612812, 'Flow Packets/s': 1031.5019932898492, 'Fwd Packets/s': 1031.5019932898492, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 224.0, 'Packet Length Mean': 99.14341085271317, 'Packet Length Std': 62.42976499521948, 'Packet Length Variance': 3897.4755573583316, 'Flow IAT Mean': 0.0009704003856670036, 'Flow IAT Std': 0.0016732878114070872, 'Flow IAT Max': 0.014854907989501953, 'Flow IAT Min': 3.0994415283203125e-06, 'Fwd IAT Total': 1.0004827976226807, 'Fwd IAT Mean': 0.0009704003856670036, 'Fwd IAT Std': 0.0016732878114070872, 'Fwd IAT Max': 0.014854907989501953, 'Fwd IAT Min': 3.0994415283203125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 200, 'SYN Flag Count': 207, 'RST Flag Count': 0, 'PSH Flag Count': 206, 'ACK Flag Count': 825, 'Fwd PSH Flags': 206, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-14 00:56:49,829 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0038840770721436, 'Total Fwd Packets': 1470, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 145650.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 224.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 99.08163265306122, 'Fwd Packet Length Std': 62.403014296208575, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 145086.47295690989, 'Flow Packets/s': 1464.312497402386, 'Fwd Packets/s': 1464.312497402386, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 224.0, 'Packet Length Mean': 99.08163265306122, 'Packet Length Std': 62.403014296208575, 'Packet Length Variance': 3894.136193252812, 'Flow IAT Mean': 0.0006833792219687839, 'Flow IAT Std': 0.0011685940639678755, 'Flow IAT Max': 0.010531902313232422, 'Flow IAT Min': 3.814697265625e-06, 'Fwd IAT Total': 1.0038840770721436, 'Fwd IAT Mean': 0.0006833792219687839, 'Fwd IAT Std': 0.0011685940639678755, 'Fwd IAT Max': 0.010531902313232422, 'Fwd IAT Min': 3.814697265625e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 294, 'SYN Flag Count': 292, 'RST Flag Count': 0, 'PSH Flag Count': 293, 'ACK Flag Count': 1178, 'Fwd PSH Flags': 293, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-14 00:56:51,404 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.019106149673462, 'Total Fwd Packets': 1382, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 136862.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 224.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 99.03183791606368, 'Fwd Packet Length Std': 62.36299948003937, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 134296.11826388526, 'Flow Packets/s': 1356.0903350870908, 'Fwd Packets/s': 1356.0903350870908, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 224.0, 'Packet Length Mean': 99.03183791606368, 'Packet Length Std': 62.36299948003937, 'Packet Length Variance': 3889.143704147391, 'Flow IAT Mean': 0.000737947972247257, 'Flow IAT Std': 0.0015616655748036717, 'Flow IAT Max': 0.03791499137878418, 'Flow IAT Min': 2.1457672119140625e-06, 'Fwd IAT Total': 1.019106149673462, 'Fwd IAT Mean': 0.000737947972247257, 'Fwd IAT Std': 0.0015616655748036717, 'Fwd IAT Max': 0.03791499137878418, 'Fwd IAT Min': 2.1457672119140625e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 280, 'SYN Flag Count': 275, 'RST Flag Count': 0, 'PSH Flag Count': 275, 'ACK Flag Count': 1107, 'Fwd PSH Flags': 275, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-14 00:56:52,454 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0019311904907227, 'Total Fwd Packets': 1318, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 130804.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 224.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 99.2443095599393, 'Fwd Packet Length Std': 62.51370309459491, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 130551.8794518566, 'Flow Packets/s': 1315.4595969354684, 'Fwd Packets/s': 1315.4595969354684, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 224.0, 'Packet Length Mean': 99.2443095599393, 'Packet Length Std': 62.51370309459491, 'Packet Length Variance': 3907.9630745991653, 'Flow IAT Mean': 0.0007607677983984227, 'Flow IAT Std': 0.0014087756053990583, 'Flow IAT Max': 0.0173490047454834, 'Flow IAT Min': 2.86102294921875e-06, 'Fwd IAT Total': 1.0019311904907227, 'Fwd IAT Mean': 0.0007607677983984227, 'Fwd IAT Std': 0.0014087756053990583, 'Fwd IAT Max': 0.0173490047454834, 'Fwd IAT Min': 2.86102294921875e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 261, 'SYN Flag Count': 263, 'RST Flag Count': 0, 'PSH Flag Count': 264, 'ACK Flag Count': 1055, 'Fwd PSH Flags': 264, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-14 00:56:53,876 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.001235008239746, 'Total Fwd Packets': 1480, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 146192.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 224.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 98.77837837837838, 'Fwd Packet Length Std': 62.15907724425154, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 146011.67437904276, 'Flow Packets/s': 1478.1744423838738, 'Fwd Packets/s': 1478.1744423838738, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 224.0, 'Packet Length Mean': 98.77837837837838, 'Packet Length Std': 62.15907724425154, 'Packet Length Variance': 3863.7508838568297, 'Flow IAT Mean': 0.0006769675512101056, 'Flow IAT Std': 0.0011571779259102368, 'Flow IAT Max': 0.009848833084106445, 'Flow IAT Min': 1.9073486328125e-06, 'Fwd IAT Total': 1.001235008239746, 'Fwd IAT Mean': 0.0006769675512101056, 'Fwd IAT Std': 0.0011571779259102368, 'Fwd IAT Max': 0.009848833084106445, 'Fwd IAT Min': 1.9073486328125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 293, 'SYN Flag Count': 297, 'RST Flag Count': 0, 'PSH Flag Count': 292, 'ACK Flag Count': 1183, 'Fwd PSH Flags': 292, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-14 00:56:55,229 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0001029968261719, 'Total Fwd Packets': 1714, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 169888.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 224.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 99.11785297549592, 'Fwd Packet Length Std': 62.42666733421541, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 169870.50387724044, 'Flow Packets/s': 1713.8234816207741, 'Fwd Packets/s': 1713.8234816207741, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 224.0, 'Packet Length Mean': 99.11785297549592, 'Packet Length Std': 62.42666733421541, 'Packet Length Variance': 3897.0887944567976, 'Flow IAT Mean': 0.000583831288281478, 'Flow IAT Std': 0.0010424609984508338, 'Flow IAT Max': 0.012279033660888672, 'Flow IAT Min': 9.5367431640625e-07, 'Fwd IAT Total': 1.0001029968261719, 'Fwd IAT Mean': 0.000583831288281478, 'Fwd IAT Std': 0.0010424609984508338, 'Fwd IAT Max': 0.012279033660888672, 'Fwd IAT Min': 9.5367431640625e-07, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 344, 'SYN Flag Count': 341, 'RST Flag Count': 0, 'PSH Flag Count': 342, 'ACK Flag Count': 1373, 'Fwd PSH Flags': 342, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-14 00:56:57,002 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0004520416259766, 'Total Fwd Packets': 1712, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 169732.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 224.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 99.14252336448598, 'Fwd Packet Length Std': 62.45939439966432, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 169655.30873838236, 'Flow Packets/s': 1711.2264544111338, 'Fwd Packets/s': 1711.2264544111338, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 224.0, 'Packet Length Mean': 99.14252336448598, 'Packet Length Std': 62.45939439966432, 'Packet Length Variance': 3901.1759487728186, 'Flow IAT Mean': 0.0005847177332705882, 'Flow IAT Std': 0.001952592709761672, 'Flow IAT Max': 0.07113885879516602, 'Flow IAT Min': 2.86102294921875e-06, 'Fwd IAT Total': 1.0004520416259766, 'Fwd IAT Mean': 0.0005847177332705882, 'Fwd IAT Std': 0.001952592709761672, 'Fwd IAT Max': 0.07113885879516602, 'Fwd IAT Min': 2.86102294921875e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 339, 'SYN Flag Count': 338, 'RST Flag Count': 0, 'PSH Flag Count': 342, 'ACK Flag Count': 1374, 'Fwd PSH Flags': 342, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-14 00:56:58,161 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0001590251922607, 'Total Fwd Packets': 1458, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 144368.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 224.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 99.01783264746227, 'Fwd Packet Length Std': 62.35348553201494, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 144345.04550138727, 'Flow Packets/s': 1457.7681781352005, 'Fwd Packets/s': 1457.7681781352005, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 224.0, 'Packet Length Mean': 99.01783264746227, 'Packet Length Std': 62.35348553201494, 'Packet Length Variance': 3887.957157991197, 'Flow IAT Mean': 0.0006864509438519291, 'Flow IAT Std': 0.003304210591064197, 'Flow IAT Max': 0.12058591842651367, 'Flow IAT Min': 9.5367431640625e-07, 'Fwd IAT Total': 1.0001590251922607, 'Fwd IAT Mean': 0.0006864509438519291, 'Fwd IAT Std': 0.003304210591064197, 'Fwd IAT Max': 0.12058591842651367, 'Fwd IAT Min': 9.5367431640625e-07, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 292, 'SYN Flag Count': 290, 'RST Flag Count': 0, 'PSH Flag Count': 290, 'ACK Flag Count': 1168, 'Fwd PSH Flags': 290, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-14 00:56:59,760 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.000493049621582, 'Total Fwd Packets': 1478, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 146044.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 224.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 98.81190798376184, 'Fwd Packet Length Std': 62.19443142830211, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 145972.02854656355, 'Flow Packets/s': 1477.2716317809766, 'Fwd Packets/s': 1477.2716317809766, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 224.0, 'Packet Length Mean': 98.81190798376184, 'Packet Length Std': 62.19443142830211, 'Packet Length Variance': 3868.1473006897736, 'Flow IAT Mean': 0.0006773818887079093, 'Flow IAT Std': 0.00449432722156038, 'Flow IAT Max': 0.16936683654785156, 'Flow IAT Min': 9.5367431640625e-07, 'Fwd IAT Total': 1.000493049621582, 'Fwd IAT Mean': 0.0006773818887079093, 'Fwd IAT Std': 0.00449432722156038, 'Fwd IAT Max': 0.16936683654785156, 'Fwd IAT Min': 9.5367431640625e-07, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 295, 'SYN Flag Count': 295, 'RST Flag Count': 0, 'PSH Flag Count': 292, 'ACK Flag Count': 1183, 'Fwd PSH Flags': 292, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-14 00:57:00,568 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0005619525909424, 'Total Fwd Packets': 886, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 87100.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 224.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 98.30699774266365, 'Fwd Packet Length Std': 61.77067923646364, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 87051.08141925212, 'Flow Packets/s': 885.5023896378574, 'Fwd Packets/s': 885.5023896378574, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 224.0, 'Packet Length Mean': 98.30699774266365, 'Packet Length Std': 61.77067923646364, 'Packet Length Variance': 3815.6168133340807, 'Flow IAT Mean': 0.0011305784775038896, 'Flow IAT Std': 0.015282929738973518, 'Flow IAT Max': 0.45258212089538574, 'Flow IAT Min': 1.9073486328125e-06, 'Fwd IAT Total': 1.0005619525909424, 'Fwd IAT Mean': 0.0011305784775038896, 'Fwd IAT Std': 0.015282929738973518, 'Fwd IAT Max': 0.45258212089538574, 'Fwd IAT Min': 1.9073486328125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 173, 'SYN Flag Count': 181, 'RST Flag Count': 0, 'PSH Flag Count': 172, 'ACK Flag Count': 705, 'Fwd PSH Flags': 172, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
