2025-06-16 14:49:09,392 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.1747190952301025, 'Total Fwd Packets': 781, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 286398.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1095.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 366.7067861715749, 'Fwd Packet Length Std': 416.9150004626819, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 243801.26377693785, 'Flow Packets/s': 664.8397929098264, 'Fwd Packets/s': 664.8397929098264, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 1095.0, 'Packet Length Mean': 366.7067861715749, 'Packet Length Std': 416.9150004626819, 'Packet Length Variance': 173818.11761079807, 'Flow IAT Mean': 0.001506050122089875, 'Flow IAT Std': 0.03147454505298316, 'Flow IAT Max': 0.8796670436859131, 'Flow IAT Min': 9.5367431640625e-07, 'Fwd IAT Total': 1.1747190952301025, 'Fwd IAT Mean': 0.001506050122089875, 'Fwd IAT Std': 0.03147454505298316, 'Fwd IAT Max': 0.8796670436859131, 'Fwd IAT Min': 9.5367431640625e-07, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 4, 'SYN Flag Count': 201, 'RST Flag Count': 0, 'PSH Flag Count': 372, 'ACK Flag Count': 580, 'Fwd PSH Flags': 372, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 14:49:11,460 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0033268928527832, 'Total Fwd Packets': 2124, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 602076.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1095.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 283.4632768361582, 'Fwd Packet Length Std': 379.3414305975468, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 600079.5994694241, 'Flow Packets/s': 2116.9571105193645, 'Fwd Packets/s': 2116.9571105193645, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 1095.0, 'Packet Length Mean': 283.4632768361582, 'Packet Length Std': 379.3414305975468, 'Packet Length Variance': 143899.92096779338, 'Flow IAT Mean': 0.00047259863064191387, 'Flow IAT Std': 0.0015343603248020447, 'Flow IAT Max': 0.04914522171020508, 'Flow IAT Min': 9.5367431640625e-07, 'Fwd IAT Total': 1.0033268928527832, 'Fwd IAT Mean': 0.00047259863064191387, 'Fwd IAT Std': 0.0015343603248020447, 'Fwd IAT Max': 0.04914522171020508, 'Fwd IAT Min': 9.5367431640625e-07, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 72, 'SYN Flag Count': 366, 'RST Flag Count': 0, 'PSH Flag Count': 732, 'ACK Flag Count': 1758, 'Fwd PSH Flags': 732, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 14:49:13,438 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0056159496307373, 'Total Fwd Packets': 2044, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 639704.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1095.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 312.9667318982387, 'Fwd Packet Length Std': 395.1412302559979, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 636131.5174395351, 'Flow Packets/s': 2032.5851044333156, 'Fwd Packets/s': 2032.5851044333156, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 1095.0, 'Packet Length Mean': 312.9667318982387, 'Packet Length Std': 395.1412302559979, 'Packet Length Variance': 156136.5918482236, 'Flow IAT Mean': 0.0004922251344252263, 'Flow IAT Std': 0.001087068505536455, 'Flow IAT Max': 0.020220041275024414, 'Flow IAT Min': 9.5367431640625e-07, 'Fwd IAT Total': 1.0056159496307373, 'Fwd IAT Mean': 0.0004922251344252263, 'Fwd IAT Std': 0.001087068505536455, 'Fwd IAT Max': 0.020220041275024414, 'Fwd IAT Min': 9.5367431640625e-07, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 22, 'SYN Flag Count': 400, 'RST Flag Count': 0, 'PSH Flag Count': 800, 'ACK Flag Count': 1644, 'Fwd PSH Flags': 800, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 14:49:14,874 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0002999305725098, 'Total Fwd Packets': 1487, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 461059.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1095.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 310.0598520511096, 'Fwd Packet Length Std': 393.2978354965859, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 460920.75577383913, 'Flow Packets/s': 1486.5541369666328, 'Fwd Packets/s': 1486.5541369666328, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 1095.0, 'Packet Length Mean': 310.0598520511096, 'Packet Length Std': 393.2978354965859, 'Packet Length Variance': 154683.18740629955, 'Flow IAT Mean': 0.0006731493476261842, 'Flow IAT Std': 0.006164327493486, 'Flow IAT Max': 0.23259997367858887, 'Flow IAT Min': 9.5367431640625e-07, 'Fwd IAT Total': 1.0002999305725098, 'Fwd IAT Mean': 0.0006731493476261842, 'Fwd IAT Std': 0.006164327493486, 'Fwd IAT Max': 0.23259997367858887, 'Fwd IAT Min': 9.5367431640625e-07, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 22, 'SYN Flag Count': 293, 'RST Flag Count': 0, 'PSH Flag Count': 577, 'ACK Flag Count': 1194, 'Fwd PSH Flags': 577, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 14:49:15,439 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.00111722946167, 'Total Fwd Packets': 784, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 250200.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1095.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 319.1326530612245, 'Fwd Packet Length Std': 399.0857316149946, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 249920.78114022658, 'Flow Packets/s': 783.1250696000704, 'Fwd Packets/s': 783.1250696000704, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 1095.0, 'Packet Length Mean': 319.1326530612245, 'Packet Length Std': 399.0857316149946, 'Packet Length Variance': 159269.4211786755, 'Flow IAT Mean': 0.0012785660657237165, 'Flow IAT Std': 0.017033514574308985, 'Flow IAT Max': 0.4445631504058838, 'Flow IAT Min': 9.5367431640625e-07, 'Fwd IAT Total': 1.00111722946167, 'Fwd IAT Mean': 0.0012785660657237165, 'Fwd IAT Std': 0.017033514574308985, 'Fwd IAT Max': 0.4445631504058838, 'Fwd IAT Min': 9.5367431640625e-07, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 6, 'SYN Flag Count': 153, 'RST Flag Count': 0, 'PSH Flag Count': 312, 'ACK Flag Count': 631, 'Fwd PSH Flags': 312, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 14:49:16,389 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0000991821289062, 'Total Fwd Packets': 1222, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 380823.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1095.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 311.639116202946, 'Fwd Packet Length Std': 394.60777917630173, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 380785.2329099439, 'Flow Packets/s': 1221.8788114582142, 'Fwd Packets/s': 1221.8788114582142, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 1095.0, 'Packet Length Mean': 311.639116202946, 'Packet Length Std': 394.60777917630173, 'Packet Length Variance': 155715.2993864529, 'Flow IAT Mean': 0.0008190820492456235, 'Flow IAT Std': 0.007353815198631254, 'Flow IAT Max': 0.1963338851928711, 'Flow IAT Min': 9.5367431640625e-07, 'Fwd IAT Total': 1.0000991821289062, 'Fwd IAT Mean': 0.0008190820492456235, 'Fwd IAT Std': 0.007353815198631254, 'Fwd IAT Max': 0.1963338851928711, 'Fwd IAT Min': 9.5367431640625e-07, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 22, 'SYN Flag Count': 243, 'RST Flag Count': 0, 'PSH Flag Count': 475, 'ACK Flag Count': 979, 'Fwd PSH Flags': 475, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 14:49:17,522 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0002028942108154, 'Total Fwd Packets': 985, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 312684.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1095.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 317.44568527918784, 'Fwd Packet Length Std': 398.08938534585167, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 312620.5710959428, 'Flow Packets/s': 984.8001897426913, 'Fwd Packets/s': 984.8001897426913, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 1095.0, 'Packet Length Mean': 317.44568527918784, 'Packet Length Std': 398.08938534585167, 'Packet Length Variance': 158475.158725038, 'Flow IAT Mean': 0.0010164663559053002, 'Flow IAT Std': 0.014129451912383498, 'Flow IAT Max': 0.42374491691589355, 'Flow IAT Min': 9.5367431640625e-07, 'Fwd IAT Total': 1.0002028942108154, 'Fwd IAT Mean': 0.0010164663559053002, 'Fwd IAT Std': 0.014129451912383498, 'Fwd IAT Max': 0.42374491691589355, 'Fwd IAT Min': 9.5367431640625e-07, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 18, 'SYN Flag Count': 192, 'RST Flag Count': 0, 'PSH Flag Count': 390, 'ACK Flag Count': 793, 'Fwd PSH Flags': 390, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 14:49:18,371 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0011508464813232, 'Total Fwd Packets': 1284, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 394536.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1095.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 307.2710280373832, 'Fwd Packet Length Std': 391.08742646872935, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 394082.4715742376, 'Flow Packets/s': 1282.5240117538606, 'Fwd Packets/s': 1282.5240117538606, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 1095.0, 'Packet Length Mean': 307.2710280373832, 'Packet Length Std': 391.08742646872935, 'Packet Length Variance': 152949.3751419338, 'Flow IAT Mean': 0.0007803202232901973, 'Flow IAT Std': 0.0077843428789859835, 'Flow IAT Max': 0.19722414016723633, 'Flow IAT Min': 1.9073486328125e-06, 'Fwd IAT Total': 1.0011508464813232, 'Fwd IAT Mean': 0.0007803202232901973, 'Fwd IAT Std': 0.0077843428789859835, 'Fwd IAT Max': 0.19722414016723633, 'Fwd IAT Min': 1.9073486328125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 14, 'SYN Flag Count': 252, 'RST Flag Count': 0, 'PSH Flag Count': 496, 'ACK Flag Count': 1032, 'Fwd PSH Flags': 496, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 14:49:19,053 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.1622898578643799, 'Total Fwd Packets': 1028, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 320955.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1095.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 312.2130350194553, 'Fwd Packet Length Std': 394.19411010931435, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 276140.239741686, 'Flow Packets/s': 884.4609570016146, 'Fwd Packets/s': 884.4609570016146, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 1095.0, 'Packet Length Mean': 312.2130350194553, 'Packet Length Std': 394.19411010931435, 'Packet Length Variance': 155388.99644487427, 'Flow IAT Mean': 0.0011317330651065042, 'Flow IAT Std': 0.01670526145519041, 'Flow IAT Max': 0.5201129913330078, 'Flow IAT Min': 1.9073486328125e-06, 'Fwd IAT Total': 1.1622898578643799, 'Fwd IAT Mean': 0.0011317330651065042, 'Fwd IAT Std': 0.01670526145519041, 'Fwd IAT Max': 0.5201129913330078, 'Fwd IAT Min': 1.9073486328125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 10, 'SYN Flag Count': 204, 'RST Flag Count': 0, 'PSH Flag Count': 403, 'ACK Flag Count': 824, 'Fwd PSH Flags': 403, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 14:49:20,166 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0012810230255127, 'Total Fwd Packets': 1700, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 532872.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1095.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 313.4541176470588, 'Fwd Packet Length Std': 395.1749645419001, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 532190.2520331921, 'Flow Packets/s': 1697.8250470214732, 'Fwd Packets/s': 1697.8250470214732, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 1095.0, 'Packet Length Mean': 313.4541176470588, 'Packet Length Std': 395.1749645419001, 'Packet Length Variance': 156163.25260069204, 'Flow IAT Mean': 0.0005893355050179592, 'Flow IAT Std': 0.0037431995235977377, 'Flow IAT Max': 0.12901091575622559, 'Flow IAT Min': 1.9073486328125e-06, 'Fwd IAT Total': 1.0012810230255127, 'Fwd IAT Mean': 0.0005893355050179592, 'Fwd IAT Std': 0.0037431995235977377, 'Fwd IAT Max': 0.12901091575622559, 'Fwd IAT Min': 1.9073486328125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 28, 'SYN Flag Count': 330, 'RST Flag Count': 0, 'PSH Flag Count': 668, 'ACK Flag Count': 1370, 'Fwd PSH Flags': 668, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 14:49:20,798 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0494859218597412, 'Total Fwd Packets': 1189, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 371756.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1095.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 312.6627417998318, 'Fwd Packet Length Std': 394.63480446836047, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 354226.76212867146, 'Flow Packets/s': 1132.935635661537, 'Fwd Packets/s': 1132.935635661537, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 1095.0, 'Packet Length Mean': 312.6627417998318, 'Packet Length Std': 394.63480446836047, 'Packet Length Variance': 155736.6288977811, 'Flow IAT Mean': 0.0008834056581310953, 'Flow IAT Std': 0.008200957939304965, 'Flow IAT Max': 0.24375295639038086, 'Flow IAT Min': 9.5367431640625e-07, 'Fwd IAT Total': 1.0494859218597412, 'Fwd IAT Mean': 0.0008834056581310953, 'Fwd IAT Std': 0.008200957939304965, 'Fwd IAT Max': 0.24375295639038086, 'Fwd IAT Min': 9.5367431640625e-07, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 17, 'SYN Flag Count': 238, 'RST Flag Count': 0, 'PSH Flag Count': 466, 'ACK Flag Count': 951, 'Fwd PSH Flags': 466, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
