2025-06-16 15:07:55,383 - INFO - [192.168.1.100] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0080828666687012, 'Total Fwd Packets': 659, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 39540.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 60.0, 'Fwd Packet Length Min': 60.0, 'Fwd Packet Length Mean': 60.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 39222.965995507315, 'Flow Packets/s': 653.7160999251219, 'Fwd Packets/s': 653.7160999251219, 'Bwd Packets/s': 0.0, 'Min Packet Length': 60.0, 'Max Packet Length': 60.0, 'Packet Length Mean': 60.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0015320408308034973, 'Flow IAT Std': 0.0021780387606354194, 'Flow IAT Max': 0.019069910049438477, 'Flow IAT Min': 3.0994415283203125e-06, 'Fwd IAT Total': 1.0080828666687012, 'Fwd IAT Mean': 0.0015320408308034973, 'Fwd IAT Std': 0.0021780387606354194, 'Fwd IAT Max': 0.019069910049438477, 'Fwd IAT Min': 3.0994415283203125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 659, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:07:56,383 - INFO - [192.168.1.100] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.000257968902588, 'Total Fwd Packets': 584, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 35040.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 60.0, 'Fwd Packet Length Min': 60.0, 'Fwd Packet Length Mean': 60.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 35030.963100892266, 'Flow Packets/s': 583.8493850148711, 'Fwd Packets/s': 583.8493850148711, 'Bwd Packets/s': 0.0, 'Min Packet Length': 60.0, 'Max Packet Length': 60.0, 'Packet Length Mean': 60.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.001715708351462415, 'Flow IAT Std': 0.002310450432198059, 'Flow IAT Max': 0.01246500015258789, 'Flow IAT Min': 8.106231689453125e-06, 'Fwd IAT Total': 1.000257968902588, 'Fwd IAT Mean': 0.001715708351462415, 'Fwd IAT Std': 0.002310450432198059, 'Fwd IAT Max': 0.01246500015258789, 'Fwd IAT Min': 8.106231689453125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 584, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:07:57,383 - INFO - [192.168.1.100] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0008020401000977, 'Total Fwd Packets': 596, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 35760.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 60.0, 'Fwd Packet Length Min': 60.0, 'Fwd Packet Length Mean': 60.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 35731.34203086094, 'Flow Packets/s': 595.5223671810157, 'Fwd Packets/s': 595.5223671810157, 'Bwd Packets/s': 0.0, 'Min Packet Length': 60.0, 'Max Packet Length': 60.0, 'Packet Length Mean': 60.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.001682020235462349, 'Flow IAT Std': 0.0023130147092186183, 'Flow IAT Max': 0.012377023696899414, 'Flow IAT Min': 6.9141387939453125e-06, 'Fwd IAT Total': 1.0008020401000977, 'Fwd IAT Mean': 0.001682020235462349, 'Fwd IAT Std': 0.0023130147092186183, 'Fwd IAT Max': 0.012377023696899414, 'Fwd IAT Min': 6.9141387939453125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 596, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:07:58,385 - INFO - [192.168.1.100] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0004630088806152, 'Total Fwd Packets': 602, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 36120.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 60.0, 'Fwd Packet Length Min': 60.0, 'Fwd Packet Length Mean': 60.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 36103.28385895393, 'Flow Packets/s': 601.7213976492322, 'Fwd Packets/s': 601.7213976492322, 'Bwd Packets/s': 0.0, 'Min Packet Length': 60.0, 'Max Packet Length': 60.0, 'Packet Length Mean': 60.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0016646639082872133, 'Flow IAT Std': 0.0033465480476479854, 'Flow IAT Max': 0.06396698951721191, 'Flow IAT Min': 5.0067901611328125e-06, 'Fwd IAT Total': 1.0004630088806152, 'Fwd IAT Mean': 0.0016646639082872133, 'Fwd IAT Std': 0.0033465480476479854, 'Fwd IAT Max': 0.06396698951721191, 'Fwd IAT Min': 5.0067901611328125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 602, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:07:59,387 - INFO - [192.168.1.100] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0024998188018799, 'Total Fwd Packets': 654, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 39240.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 60.0, 'Fwd Packet Length Min': 60.0, 'Fwd Packet Length Mean': 60.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 39142.1517132013, 'Flow Packets/s': 652.3691952200218, 'Fwd Packets/s': 652.3691952200218, 'Bwd Packets/s': 0.0, 'Min Packet Length': 60.0, 'Max Packet Length': 60.0, 'Packet Length Mean': 60.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0015352217745817456, 'Flow IAT Std': 0.0020898202554567582, 'Flow IAT Max': 0.012997150421142578, 'Flow IAT Min': 6.9141387939453125e-06, 'Fwd IAT Total': 1.0024998188018799, 'Fwd IAT Mean': 0.0015352217745817456, 'Fwd IAT Std': 0.0020898202554567582, 'Fwd IAT Max': 0.012997150421142578, 'Fwd IAT Min': 6.9141387939453125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 654, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:08:00,389 - INFO - [192.168.1.100] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0018529891967773, 'Total Fwd Packets': 640, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 38400.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 60.0, 'Fwd Packet Length Min': 60.0, 'Fwd Packet Length Mean': 60.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 38328.976820028955, 'Flow Packets/s': 638.8162803338159, 'Fwd Packets/s': 638.8162803338159, 'Bwd Packets/s': 0.0, 'Min Packet Length': 60.0, 'Max Packet Length': 60.0, 'Packet Length Mean': 60.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0015678450535160835, 'Flow IAT Std': 0.002302901419622512, 'Flow IAT Max': 0.012829065322875977, 'Flow IAT Min': 5.9604644775390625e-06, 'Fwd IAT Total': 1.0018529891967773, 'Fwd IAT Mean': 0.0015678450535160835, 'Fwd IAT Std': 0.002302901419622512, 'Fwd IAT Max': 0.012829065322875977, 'Fwd IAT Min': 5.9604644775390625e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 640, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:08:01,393 - INFO - [192.168.1.100] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.004220962524414, 'Total Fwd Packets': 554, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 33240.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 60.0, 'Fwd Packet Length Min': 60.0, 'Fwd Packet Length Mean': 60.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 33100.284937730416, 'Flow Packets/s': 551.6714156288402, 'Fwd Packets/s': 551.6714156288402, 'Bwd Packets/s': 0.0, 'Min Packet Length': 60.0, 'Max Packet Length': 60.0, 'Packet Length Mean': 60.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.001815951107639085, 'Flow IAT Std': 0.002591219882312385, 'Flow IAT Max': 0.0172119140625, 'Flow IAT Min': 6.9141387939453125e-06, 'Fwd IAT Total': 1.004220962524414, 'Fwd IAT Mean': 0.001815951107639085, 'Fwd IAT Std': 0.002591219882312385, 'Fwd IAT Max': 0.0172119140625, 'Fwd IAT Min': 6.9141387939453125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 554, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:08:02,395 - INFO - [192.168.1.100] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0013530254364014, 'Total Fwd Packets': 624, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 37440.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 60.0, 'Fwd Packet Length Min': 60.0, 'Fwd Packet Length Mean': 60.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 37389.411175627305, 'Flow Packets/s': 623.1568529271218, 'Fwd Packets/s': 623.1568529271218, 'Bwd Packets/s': 0.0, 'Min Packet Length': 60.0, 'Max Packet Length': 60.0, 'Packet Length Mean': 60.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0016073082270247213, 'Flow IAT Std': 0.0022535621129586127, 'Flow IAT Max': 0.011768102645874023, 'Flow IAT Min': 2.1457672119140625e-06, 'Fwd IAT Total': 1.0013530254364014, 'Fwd IAT Mean': 0.0016073082270247213, 'Fwd IAT Std': 0.0022535621129586127, 'Fwd IAT Max': 0.011768102645874023, 'Fwd IAT Min': 2.1457672119140625e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 624, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:08:03,395 - INFO - [192.168.1.100] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0001678466796875, 'Total Fwd Packets': 584, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 35040.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 60.0, 'Fwd Packet Length Min': 60.0, 'Fwd Packet Length Mean': 60.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 35034.11963934276, 'Flow Packets/s': 583.901993989046, 'Fwd Packets/s': 583.901993989046, 'Bwd Packets/s': 0.0, 'Min Packet Length': 60.0, 'Max Packet Length': 60.0, 'Packet Length Mean': 60.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.001715553767889687, 'Flow IAT Std': 0.002415759976619614, 'Flow IAT Max': 0.019756078720092773, 'Flow IAT Min': 6.9141387939453125e-06, 'Fwd IAT Total': 1.0001678466796875, 'Fwd IAT Mean': 0.001715553767889687, 'Fwd IAT Std': 0.002415759976619614, 'Fwd IAT Max': 0.019756078720092773, 'Fwd IAT Min': 6.9141387939453125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 584, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:08:04,397 - INFO - [192.168.1.100] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0022709369659424, 'Total Fwd Packets': 560, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 33600.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 60.0, 'Fwd Packet Length Min': 60.0, 'Fwd Packet Length Mean': 60.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 33523.86940572511, 'Flow Packets/s': 558.7311567620852, 'Fwd Packets/s': 558.7311567620852, 'Bwd Packets/s': 0.0, 'Min Packet Length': 60.0, 'Max Packet Length': 60.0, 'Packet Length Mean': 60.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0017929712646975713, 'Flow IAT Std': 0.002526889566353602, 'Flow IAT Max': 0.013959884643554688, 'Flow IAT Min': 3.0994415283203125e-06, 'Fwd IAT Total': 1.0022709369659424, 'Fwd IAT Mean': 0.0017929712646975713, 'Fwd IAT Std': 0.002526889566353602, 'Fwd IAT Max': 0.013959884643554688, 'Fwd IAT Min': 3.0994415283203125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 560, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:08:05,397 - INFO - [192.168.1.100] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0003111362457275, 'Total Fwd Packets': 560, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 33600.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 60.0, 'Fwd Packet Length Min': 60.0, 'Fwd Packet Length Mean': 60.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 33589.549073805494, 'Flow Packets/s': 559.8258178967583, 'Fwd Packets/s': 559.8258178967583, 'Bwd Packets/s': 0.0, 'Min Packet Length': 60.0, 'Max Packet Length': 60.0, 'Packet Length Mean': 60.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.001789465360010246, 'Flow IAT Std': 0.0025044893004552327, 'Flow IAT Max': 0.014779806137084961, 'Flow IAT Min': 7.152557373046875e-06, 'Fwd IAT Total': 1.0003111362457275, 'Fwd IAT Mean': 0.001789465360010246, 'Fwd IAT Std': 0.0025044893004552327, 'Fwd IAT Max': 0.014779806137084961, 'Fwd IAT Min': 7.152557373046875e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 560, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
