2025-06-16 15:23:20,084 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0024590492248535, 'Total Fwd Packets': 1537, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 1638442.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1066.0, 'Fwd Packet Length Min': 1066.0, 'Fwd Packet Length Mean': 1066.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 1634422.8736993468, 'Flow Packets/s': 1533.2297126635524, 'Fwd Packets/s': 1533.2297126635524, 'Bwd Packets/s': 0.0, 'Min Packet Length': 1066.0, 'Max Packet Length': 1066.0, 'Packet Length Mean': 1066.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0006526426101724306, 'Flow IAT Std': 0.001451445528704259, 'Flow IAT Max': 0.022992849349975586, 'Flow IAT Min': 9.5367431640625e-07, 'Fwd IAT Total': 1.0024590492248535, 'Fwd IAT Mean': 0.0006526426101724306, 'Fwd IAT Std': 0.001451445528704259, 'Fwd IAT Max': 0.022992849349975586, 'Fwd IAT Min': 9.5367431640625e-07, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 0, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:23:21,086 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0019950866699219, 'Total Fwd Packets': 1310, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 1396460.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1066.0, 'Fwd Packet Length Min': 1066.0, 'Fwd Packet Length Mean': 1066.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 1393679.4886300906, 'Flow Packets/s': 1307.3916403659387, 'Fwd Packets/s': 1307.3916403659387, 'Bwd Packets/s': 0.0, 'Min Packet Length': 1066.0, 'Max Packet Length': 1066.0, 'Packet Length Mean': 1066.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0007654660707944399, 'Flow IAT Std': 0.0014576700219724008, 'Flow IAT Max': 0.021128177642822266, 'Flow IAT Min': 1.9073486328125e-06, 'Fwd IAT Total': 1.0019950866699219, 'Fwd IAT Mean': 0.0007654660707944399, 'Fwd IAT Std': 0.0014576700219724008, 'Fwd IAT Max': 0.021128177642822266, 'Fwd IAT Min': 1.9073486328125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 0, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:23:22,086 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0003221035003662, 'Total Fwd Packets': 1264, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 1347424.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1066.0, 'Fwd Packet Length Min': 1066.0, 'Fwd Packet Length Mean': 1066.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 1346990.1297642442, 'Flow Packets/s': 1263.5929922741502, 'Fwd Packets/s': 1263.5929922741502, 'Bwd Packets/s': 0.0, 'Min Packet Length': 1066.0, 'Max Packet Length': 1066.0, 'Packet Length Mean': 1066.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0007920206678546051, 'Flow IAT Std': 0.0014770092756595328, 'Flow IAT Max': 0.02294301986694336, 'Flow IAT Min': 1.9073486328125e-06, 'Fwd IAT Total': 1.0003221035003662, 'Fwd IAT Mean': 0.0007920206678546051, 'Fwd IAT Std': 0.0014770092756595328, 'Fwd IAT Max': 0.02294301986694336, 'Fwd IAT Min': 1.9073486328125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 0, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:23:23,087 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0001490116119385, 'Total Fwd Packets': 1242, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 1318098.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1066.0, 'Fwd Packet Length Min': 66.0, 'Fwd Packet Length Mean': 1061.270531400966, 'Fwd Packet Length Std': 67.88982443663006, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 1317901.6173556214, 'Flow Packets/s': 1241.8149551518036, 'Fwd Packets/s': 1241.8149551518036, 'Bwd Packets/s': 0.0, 'Min Packet Length': 66.0, 'Max Packet Length': 1066.0, 'Packet Length Mean': 1061.270531400966, 'Packet Length Std': 67.88982443663006, 'Packet Length Variance': 4609.028262036453, 'Flow IAT Mean': 0.0008059218465849625, 'Flow IAT Std': 0.0018175635510046843, 'Flow IAT Max': 0.029135942459106445, 'Flow IAT Min': 1.9073486328125e-06, 'Fwd IAT Total': 1.0001490116119385, 'Fwd IAT Mean': 0.0008059218465849625, 'Fwd IAT Std': 0.0018175635510046843, 'Fwd IAT Max': 0.029135942459106445, 'Fwd IAT Min': 1.9073486328125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 2, 'SYN Flag Count': 0, 'RST Flag Count': 0, 'PSH Flag Count': 4, 'ACK Flag Count': 6, 'Fwd PSH Flags': 4, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:23:24,088 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0004920959472656, 'Total Fwd Packets': 1298, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 1383668.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1066.0, 'Fwd Packet Length Min': 1066.0, 'Fwd Packet Length Mean': 1066.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 1382987.4374868935, 'Flow Packets/s': 1297.3615736274799, 'Fwd Packets/s': 1297.3615736274799, 'Bwd Packets/s': 0.0, 'Min Packet Length': 1066.0, 'Max Packet Length': 1066.0, 'Packet Length Mean': 1066.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0007713894340379843, 'Flow IAT Std': 0.0017547980459428454, 'Flow IAT Max': 0.024158000946044922, 'Flow IAT Min': 1.9073486328125e-06, 'Fwd IAT Total': 1.0004920959472656, 'Fwd IAT Mean': 0.0007713894340379843, 'Fwd IAT Std': 0.0017547980459428454, 'Fwd IAT Max': 0.024158000946044922, 'Fwd IAT Min': 1.9073486328125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 0, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:23:25,088 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0004148483276367, 'Total Fwd Packets': 1230, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 1311180.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1066.0, 'Fwd Packet Length Min': 1066.0, 'Fwd Packet Length Mean': 1066.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 1310636.28472914, 'Flow Packets/s': 1229.4899481511634, 'Fwd Packets/s': 1229.4899481511634, 'Bwd Packets/s': 0.0, 'Min Packet Length': 1066.0, 'Max Packet Length': 1066.0, 'Packet Length Mean': 1066.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0008140071996156523, 'Flow IAT Std': 0.0017779713645614918, 'Flow IAT Max': 0.029018163681030273, 'Flow IAT Min': 1.9073486328125e-06, 'Fwd IAT Total': 1.0004148483276367, 'Fwd IAT Mean': 0.0008140071996156523, 'Fwd IAT Std': 0.0017779713645614918, 'Fwd IAT Max': 0.029018163681030273, 'Fwd IAT Min': 1.9073486328125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 0, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:23:26,195 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.003180980682373, 'Total Fwd Packets': 1322, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 1409252.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1066.0, 'Fwd Packet Length Min': 1066.0, 'Fwd Packet Length Mean': 1066.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 1404783.4111063527, 'Flow Packets/s': 1317.808077960931, 'Fwd Packets/s': 1317.808077960931, 'Bwd Packets/s': 0.0, 'Min Packet Length': 1066.0, 'Max Packet Length': 1066.0, 'Packet Length Mean': 1066.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0007594102806073982, 'Flow IAT Std': 0.001641389082412324, 'Flow IAT Max': 0.025043010711669922, 'Flow IAT Min': 9.5367431640625e-07, 'Fwd IAT Total': 1.003180980682373, 'Fwd IAT Mean': 0.0007594102806073982, 'Fwd IAT Std': 0.001641389082412324, 'Fwd IAT Max': 0.025043010711669922, 'Fwd IAT Min': 9.5367431640625e-07, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 0, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:23:27,094 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0014779567718506, 'Total Fwd Packets': 1272, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 1355952.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1066.0, 'Fwd Packet Length Min': 1066.0, 'Fwd Packet Length Mean': 1066.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 1353950.9190704066, 'Flow Packets/s': 1270.1228133868728, 'Fwd Packets/s': 1270.1228133868728, 'Bwd Packets/s': 0.0, 'Min Packet Length': 1066.0, 'Max Packet Length': 1066.0, 'Packet Length Mean': 1066.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0007879448912445717, 'Flow IAT Std': 0.002002746642845306, 'Flow IAT Max': 0.030085086822509766, 'Flow IAT Min': 1.9073486328125e-06, 'Fwd IAT Total': 1.0014779567718506, 'Fwd IAT Mean': 0.0007879448912445717, 'Fwd IAT Std': 0.002002746642845306, 'Fwd IAT Max': 0.030085086822509766, 'Fwd IAT Min': 1.9073486328125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 0, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:23:28,093 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0001330375671387, 'Total Fwd Packets': 1172, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 1249352.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1066.0, 'Fwd Packet Length Min': 1066.0, 'Fwd Packet Length Mean': 1066.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 1249185.8113587527, 'Flow Packets/s': 1171.8441007117756, 'Fwd Packets/s': 1171.8441007117756, 'Bwd Packets/s': 0.0, 'Min Packet Length': 1066.0, 'Max Packet Length': 1066.0, 'Packet Length Mean': 1066.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0008540845752067794, 'Flow IAT Std': 0.0018897595053288816, 'Flow IAT Max': 0.02498483657836914, 'Flow IAT Min': 1.9073486328125e-06, 'Fwd IAT Total': 1.0001330375671387, 'Fwd IAT Mean': 0.0008540845752067794, 'Fwd IAT Std': 0.0018897595053288816, 'Fwd IAT Max': 0.02498483657836914, 'Fwd IAT Min': 1.9073486328125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 0, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:23:29,105 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0127770900726318, 'Total Fwd Packets': 1360, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 1449760.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1066.0, 'Fwd Packet Length Min': 1066.0, 'Fwd Packet Length Mean': 1066.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 1431469.9791402565, 'Flow Packets/s': 1342.8423819326983, 'Fwd Packets/s': 1342.8423819326983, 'Bwd Packets/s': 0.0, 'Min Packet Length': 1066.0, 'Max Packet Length': 1066.0, 'Packet Length Mean': 1066.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0007452370052042913, 'Flow IAT Std': 0.0016127849716709836, 'Flow IAT Max': 0.022964954376220703, 'Flow IAT Min': 1.9073486328125e-06, 'Fwd IAT Total': 1.0127770900726318, 'Fwd IAT Mean': 0.0007452370052042913, 'Fwd IAT Std': 0.0016127849716709836, 'Fwd IAT Max': 0.022964954376220703, 'Fwd IAT Min': 1.9073486328125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 0, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
2025-06-16 15:23:30,107 - INFO - [192.168.1.149] Metrics: {'Destination Port': 8080, 'Flow Duration': 1.0013668537139893, 'Total Fwd Packets': 1300, 'Total Backward Packets': 0, 'Total Length of Fwd Packets': 1385800.0, 'Total Length of Bwd Packets': 0, 'Fwd Packet Length Max': 1066.0, 'Fwd Packet Length Min': 1066.0, 'Fwd Packet Length Mean': 1066.0, 'Fwd Packet Length Std': 0.0, 'Bwd Packet Length Max': 0, 'Bwd Packet Length Min': 0, 'Bwd Packet Length Mean': 0, 'Bwd Packet Length Std': 0, 'Flow Bytes/s': 1383908.3996640982, 'Flow Packets/s': 1298.2255156323622, 'Fwd Packets/s': 1298.2255156323622, 'Bwd Packets/s': 0.0, 'Min Packet Length': 1066.0, 'Max Packet Length': 1066.0, 'Packet Length Mean': 1066.0, 'Packet Length Std': 0.0, 'Packet Length Variance': 0.0, 'Flow IAT Mean': 0.0007708751760692758, 'Flow IAT Std': 0.0017108496991702458, 'Flow IAT Max': 0.026038169860839844, 'Flow IAT Min': 1.9073486328125e-06, 'Fwd IAT Total': 1.0013668537139893, 'Fwd IAT Mean': 0.0007708751760692758, 'Fwd IAT Std': 0.0017108496991702458, 'Fwd IAT Max': 0.026038169860839844, 'Fwd IAT Min': 1.9073486328125e-06, 'Bwd IAT Total': 0, 'Bwd IAT Mean': 0, 'Bwd IAT Std': 0, 'Bwd IAT Max': 0, 'Bwd IAT Min': 0, 'FIN Flag Count': 0, 'SYN Flag Count': 0, 'RST Flag Count': 0, 'PSH Flag Count': 0, 'ACK Flag Count': 0, 'Fwd PSH Flags': 0, 'Bwd PSH Flags': 0, 'Fwd URG Flags': 0, 'Bwd URG Flags': 0}
